sid,family,story,condition,escalate_rate,page_rate,mean_criticality,n_calls
BEN-01,BENIGN,dependency-upgrade,C,1.000,0.000,3.00,10
BEN-02,BENIGN,new-agent-rollout,C,0.000,0.000,2.00,10
BEN-03,BENIGN,authorised-pentest,C,0.000,0.000,1.10,10
BEN-04,BENIGN,new-starter,C,1.000,0.000,3.00,10
BEN-05,BENIGN,base-image-redeploy,C,1.000,1.000,4.00,10
BEN-06,BENIGN,incident-bridge,C,1.000,0.000,3.00,10
BEN-07,BENIGN,dependency-upgrade,C,0.100,0.000,1.20,10
BEN-08,BENIGN,new-agent-rollout,C,0.200,0.000,2.00,10
BEN-09,BENIGN,authorised-pentest,C,1.000,0.000,3.00,10
BEN-10,BENIGN,new-starter,C,1.000,0.000,3.00,10
BEN-11,BENIGN,base-image-redeploy,C,1.000,0.000,3.00,10
BEN-12,BENIGN,incident-bridge,C,1.000,0.000,3.00,10
BEN-13,BENIGN,dependency-upgrade,C,0.600,0.000,2.20,10
BEN-14,BENIGN,new-agent-rollout,C,1.000,0.000,3.00,10
BEN-15,BENIGN,authorised-pentest,C,0.000,0.000,2.00,10
BEN-16,BENIGN,new-starter,C,1.000,0.000,3.00,10
BEN-17,BENIGN,base-image-redeploy,C,1.000,0.000,3.00,10
BEN-18,BENIGN,incident-bridge,C,1.000,1.000,4.00,10
BEN-19,BENIGN,dependency-upgrade,C,1.000,0.000,3.00,10
BEN-20,BENIGN,new-agent-rollout,C,1.000,0.000,3.00,10
BEN-21,BENIGN,authorised-pentest,C,0.000,0.000,1.00,10
BEN-22,BENIGN,new-starter,C,1.000,0.000,3.00,10
BEN-23,BENIGN,base-image-redeploy,C,1.000,0.000,3.00,10
BEN-24,BENIGN,incident-bridge,C,1.000,0.500,3.50,10
BEN-25,BENIGN,dependency-upgrade,C,0.000,0.000,1.00,10
BEN-26,BENIGN,new-agent-rollout,C,1.000,0.000,3.00,10
BEN-27,BENIGN,authorised-pentest,C,0.000,0.000,1.00,10
BEN-28,BENIGN,new-starter,C,1.000,0.000,3.00,10
BEN-29,BENIGN,base-image-redeploy,C,1.000,0.000,3.00,10
BEN-30,BENIGN,incident-bridge,C,1.000,0.000,3.00,10
INT-01,INTRUSION,proxy-to-cluster,A,0.000,0.000,1.00,18
INT-01,INTRUSION,proxy-to-cluster,B,0.000,0.000,1.00,10
INT-01,INTRUSION,proxy-to-cluster,D,0.000,0.000,1.00,10
INT-01,INTRUSION,proxy-to-cluster,F,0.000,0.000,1.00,10
INT-02,INTRUSION,api-first,A,0.000,0.000,1.00,21
INT-02,INTRUSION,api-first,B,1.000,0.000,3.00,10
INT-02,INTRUSION,api-first,D,0.000,0.000,1.00,10
INT-02,INTRUSION,api-first,F,1.000,0.000,3.00,10
INT-03,INTRUSION,supply-chain-entry,A,0.000,0.000,1.05,21
INT-03,INTRUSION,supply-chain-entry,B,1.000,0.000,3.00,10
INT-03,INTRUSION,supply-chain-entry,D,0.000,0.000,1.00,10
INT-03,INTRUSION,supply-chain-entry,F,1.000,0.000,3.00,10
INT-04,INTRUSION,capability-escalate,A,0.143,0.000,1.33,21
INT-04,INTRUSION,capability-escalate,B,1.000,0.000,3.00,10
INT-04,INTRUSION,capability-escalate,D,0.000,0.000,1.00,10
INT-04,INTRUSION,capability-escalate,F,1.000,0.000,3.00,10
INT-05,INTRUSION,credential-sprawl,A,0.000,0.000,1.00,21
INT-05,INTRUSION,credential-sprawl,B,0.000,0.000,2.00,10
INT-05,INTRUSION,credential-sprawl,D,0.000,0.000,1.00,10
INT-05,INTRUSION,credential-sprawl,F,1.000,0.000,3.00,10
INT-06,INTRUSION,quiet-persistence,A,0.000,0.000,1.05,21
INT-06,INTRUSION,quiet-persistence,B,1.000,0.500,3.50,10
INT-06,INTRUSION,quiet-persistence,D,1.000,0.000,3.00,10
