sid,family,story,cond,p_page,n_calls
INT-01,INTRUSION,proxy-to-cluster,A,0.3889,18
INT-02,INTRUSION,api-first,A,0.7143,21
INT-03,INTRUSION,supply-chain-entry,A,0.5238,21
INT-04,INTRUSION,capability-escalate,A,0.8095,21
INT-05,INTRUSION,credential-sprawl,A,0.5238,21
INT-06,INTRUSION,quiet-persistence,A,0.6190,21
INT-07,INTRUSION,proxy-to-cluster,A,0.4286,21
INT-08,INTRUSION,api-first,A,0.6667,18
INT-09,INTRUSION,supply-chain-entry,A,0.5714,21
INT-10,INTRUSION,capability-escalate,A,0.8571,21
INT-11,INTRUSION,credential-sprawl,A,0.5238,21
INT-12,INTRUSION,quiet-persistence,A,0.4286,21
INT-13,INTRUSION,proxy-to-cluster,A,0.3333,18
INT-14,INTRUSION,api-first,A,0.7778,18
INT-15,INTRUSION,supply-chain-entry,A,0.6667,18
INT-16,INTRUSION,capability-escalate,A,0.9048,21
INT-17,INTRUSION,credential-sprawl,A,0.3333,21
INT-18,INTRUSION,quiet-persistence,A,0.4286,21
INT-19,INTRUSION,proxy-to-cluster,A,0.3333,18
INT-20,INTRUSION,api-first,A,0.4762,21
INT-21,INTRUSION,supply-chain-entry,A,0.7619,21
INT-22,INTRUSION,capability-escalate,A,0.8571,21
INT-23,INTRUSION,credential-sprawl,A,0.3810,21
INT-24,INTRUSION,quiet-persistence,A,0.5000,18
INT-25,INTRUSION,proxy-to-cluster,A,0.5238,21
INT-26,INTRUSION,api-first,A,0.7143,21
INT-27,INTRUSION,supply-chain-entry,A,0.7143,21
INT-28,INTRUSION,capability-escalate,A,0.6190,21
INT-29,INTRUSION,credential-sprawl,A,0.4762,21
INT-30,INTRUSION,quiet-persistence,A,0.6111,18
INT-01,INTRUSION,proxy-to-cluster,B,1.0000,10
INT-02,INTRUSION,api-first,B,1.0000,10
INT-03,INTRUSION,supply-chain-entry,B,1.0000,10
INT-04,INTRUSION,capability-escalate,B,1.0000,10
INT-05,INTRUSION,credential-sprawl,B,0.9000,10
INT-06,INTRUSION,quiet-persistence,B,1.0000,10
INT-07,INTRUSION,proxy-to-cluster,B,1.0000,10
INT-08,INTRUSION,api-first,B,1.0000,10
INT-09,INTRUSION,supply-chain-entry,B,1.0000,10
INT-10,INTRUSION,capability-escalate,B,0.8000,10
INT-11,INTRUSION,credential-sprawl,B,1.0000,10
INT-12,INTRUSION,quiet-persistence,B,1.0000,10
INT-13,INTRUSION,proxy-to-cluster,B,1.0000,10
INT-14,INTRUSION,api-first,B,1.0000,10
INT-15,INTRUSION,supply-chain-entry,B,1.0000,10
INT-16,INTRUSION,capability-escalate,B,1.0000,10
INT-17,INTRUSION,credential-sprawl,B,1.0000,10
INT-18,INTRUSION,quiet-persistence,B,1.0000,10
INT-19,INTRUSION,proxy-to-cluster,B,1.0000,10
INT-20,INTRUSION,api-first,B,0.9000,10
INT-21,INTRUSION,supply-chain-entry,B,1.0000,10
INT-22,INTRUSION,capability-escalate,B,0.9000,10
INT-23,INTRUSION,credential-sprawl,B,1.0000,10
INT-24,INTRUSION,quiet-persistence,B,1.0000,10
INT-25,INTRUSION,proxy-to-cluster,B,1.0000,10
INT-26,INTRUSION,api-first,B,1.0000,10
INT-27,INTRUSION,supply-chain-entry,B,1.0000,10
INT-28,INTRUSION,capability-escalate,B,0.9000,10
INT-29,INTRUSION,credential-sprawl,B,1.0000,10
INT-30,INTRUSION,quiet-persistence,B,1.0000,10
BEN-01,BENIGN,dependency-upgrade,C,1.0000,10
BEN-02,BENIGN,new-agent-rollout,C,1.0000,10
BEN-03,BENIGN,authorised-pentest,C,0.9000,10
BEN-04,BENIGN,new-starter,C,0.8000,10
BEN-05,BENIGN,base-image-redeploy,C,1.0000,10
BEN-06,BENIGN,incident-bridge,C,1.0000,10
BEN-07,BENIGN,dependency-upgrade,C,1.0000,10
BEN-08,BENIGN,new-agent-rollout,C,1.0000,10
BEN-09,BENIGN,authorised-pentest,C,1.0000,10
BEN-10,BENIGN,new-starter,C,1.0000,10
BEN-11,BENIGN,base-image-redeploy,C,1.0000,10
BEN-12,BENIGN,incident-bridge,C,1.0000,10
BEN-13,BENIGN,dependency-upgrade,C,1.0000,10
BEN-14,BENIGN,new-agent-rollout,C,1.0000,10
BEN-15,BENIGN,authorised-pentest,C,1.0000,10
BEN-16,BENIGN,new-starter,C,1.0000,10
BEN-17,BENIGN,base-image-redeploy,C,1.0000,10
BEN-18,BENIGN,incident-bridge,C,1.0000,10
BEN-19,BENIGN,dependency-upgrade,C,0.9000,10
BEN-20,BENIGN,new-agent-rollout,C,1.0000,10
BEN-21,BENIGN,authorised-pentest,C,1.0000,10
BEN-22,BENIGN,new-starter,C,0.7000,10
BEN-23,BENIGN,base-image-redeploy,C,1.0000,10
BEN-24,BENIGN,incident-bridge,C,0.9000,10
BEN-25,BENIGN,dependency-upgrade,C,1.0000,10
BEN-26,BENIGN,new-agent-rollout,C,1.0000,10
BEN-27,BENIGN,authorised-pentest,C,0.9000,10
BEN-28,BENIGN,new-starter,C,0.7000,10
BEN-29,BENIGN,base-image-redeploy,C,1.0000,10
BEN-30,BENIGN,incident-bridge,C,1.0000,10
INT-01,INTRUSION,proxy-to-cluster,D,0.0000,10
INT-02,INTRUSION,api-first,D,0.9000,10
INT-03,INTRUSION,supply-chain-entry,D,1.0000,10
INT-04,INTRUSION,capability-escalate,D,0.8000,10
INT-05,INTRUSION,credential-sprawl,D,0.1000,10
INT-06,INTRUSION,quiet-persistence,D,1.0000,10
INT-07,INTRUSION,proxy-to-cluster,D,1.0000,10
INT-08,INTRUSION,api-first,D,0.0000,10
INT-09,INTRUSION,supply-chain-entry,D,1.0000,10
INT-10,INTRUSION,capability-escalate,D,1.0000,10
INT-11,INTRUSION,credential-sprawl,D,0.5000,10
